Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT2,Battery_Cell,BatteryHolder_Keystone_3034_1x20mm_CustomCourtyard,50.885,-26.33,180,bottom
C1,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,56.17,-19.0725,-90,top
C2,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,45.2925,-25.43,0,top
C9,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,42.91,-28.87,90,top
D1,GREEN_LED,LED_0402_1005Metric,45.48,-30.045,90,top
D2,RED_LED,LED_0402_1005Metric,53.585,-30.445,90,top
D5,D_Schottky_Small_Filled,SOD323_F_,56.71,-20.98,0,top
Q1,PMOS,DMP3099L-7_Correct,52.9155,-19.81,90,top
Q2,FS8205A,SOT-23-6,49.4325,-33.91,180,top
R1,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,45.2925,-24.32,0,top
R2,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,54.81,-29.11,90,top
R3,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,54.79,-24.2975,90,top
R4,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,53.0025,-32.04,180,top
R5,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,46.06,-31.6325,0,top
R6,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,50.3,-22.92,0,top
R7,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,40.44,-33.91,90,top
R8,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,57.39,-19.0825,90,top
R9,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,44.02,-28.88,90,top
R10,100k,R_0402_1005Metric,48.17,-22.91,0,top
U1,AP2112K-3.3,SOT-23-5,60.2275,-19.83,0,top
U2,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,48.4825,-20.07,90,top
U3,TP4056,SO08-PAD-300,49.66,-27.6338,180,top
U4,DW01A,SOT95P280X145-6N,42.92,-32.965,90,top
